gene_symbols,highly_variable,means,dispersions,dispersions_norm,mean,std
ENSG00000002745,1,0.014678292,3.4749815,1.2152176,0.0037355165,0.081726745
ENSG00000004660,1,0.06424528,4.7857175,2.68091,0.019369991,0.17312767
ENSG00000004799,1,0.055391256,3.717453,1.4863541,0.016153071,0.16094774
ENSG00000004939,1,0.011688179,3.7806075,1.5569749,0.0025285564,0.07124442
ENSG00000005102,1,0.016693752,4.692052,2.5761714,0.005688897,0.092284985
ENSG00000005249,1,0.17184995,3.8469136,1.6311198,0.03026584,0.26848215
ENSG00000005381,1,0.0103604505,3.7060354,1.4735868,0.0031621726,0.068792306
ENSG00000005961,1,0.1863931,3.8063278,1.5857359,0.029687932,0.28000775
ENSG00000006118,1,0.003591583,3.6358893,1.3951479,0.0005574266,0.03814225
ENSG00000007516,1,0.028136743,3.692941,1.4589444,0.0071125343,0.11166332
ENSG00000008118,1,0.00051047845,3.6038613,1.3593334,0.00010952533,0.014589121
ENSG00000008516,1,0.064092234,3.5637858,1.3145202,0.012368626,0.16729149
ENSG00000011304,1,0.5364523,3.7449152,1.5338877,0.21572454,0.5508857
ENSG00000012223,1,0.008431275,4.2284603,2.057773,0.0011815566,0.05522217
ENSG00000013016,1,0.06882571,3.5824406,1.3353806,0.015700003,0.177408
ENSG00000013288,1,0.25136456,4.3248296,2.1655357,0.06789488,0.3421274
ENSG00000019505,1,5.787578e-05,4.1625543,1.984076,7.643783e-06,0.0044367206
ENSG00000019582,1,3.320066,4.989456,2.8939466,1.6185812,1.8033471
ENSG00000025772,1,0.08265676,3.6726308,1.4362329,0.02878493,0.211368
ENSG00000030304,1,0.0056357062,3.5622513,1.3128045,0.0010431417,0.04838743
ENSG00000032444,1,0.20220962,3.5109813,1.2554733,0.070001684,0.3237287
ENSG00000035403,1,0.5669331,3.7052555,1.4771338,0.1715078,0.5589354
ENSG00000038358,1,0.16695413,3.581215,1.3340099,0.044067156,0.28209966
ENSG00000039600,1,0.0059226127,3.540517,1.2885007,0.0012300767,0.050256204
ENSG00000048342,1,0.062746756,3.489208,1.2311258,0.013678521,0.16724123
ENSG00000059915,1,0.07154089,3.4617615,1.2004344,0.013447146,0.1784941
ENSG00000064726,1,0.37387806,3.7890856,1.5970968,0.13582265,0.45397487
ENSG00000065150,1,0.30276737,3.6764562,1.4359211,0.09265061,0.38902748
ENSG00000065534,1,0.06026434,3.4167094,1.1500564,0.011498943,0.16585205
ENSG00000065618,1,0.0014508121,3.4727726,1.2127475,0.0003579281,0.025670825
ENSG00000066813,1,6.746931e-05,3.4690382,1.2085716,1.7278788e-05,0.0051029213
ENSG00000067842,1,0.0001470066,3.7049637,1.4723885,3.5622958e-05,0.007887696
ENSG00000070182,1,0.016237112,3.4445786,1.1812202,0.0034630895,0.08574457
ENSG00000071894,1,0.18876101,3.4270146,1.1615797,0.055051282,0.30661643
ENSG00000073111,1,0.037027415,3.4604795,1.199001,0.0106103895,0.13266113
ENSG00000073598,1,0.001228913,3.532078,1.2790639,0.0002869837,0.023371033
ENSG00000074370,1,0.52015907,3.5508869,1.2562279,0.17481013,0.5366635
ENSG00000075290,1,0.0023741915,3.478849,1.2195419,0.00044494026,0.03161486
ENSG00000075426,1,0.48671812,4.2196517,2.2132485,0.16140026,0.5137518
